1000268201_693b08cb0e.jpg#0	ピンクのドレスを着た子供は、入り口で階段を登っています。
1000268201_693b08cb0e.jpg#1	木製の建物に行く女の子。
1000268201_693b08cb0e.jpg#2	木製の遊び場に登っている少女。
1000268201_693b08cb0e.jpg#3	階段をプレイハウスに登っている少女。
1000268201_693b08cb0e.jpg#4	木製のキャビンに入るピンクのドレスを着た少女。
1001773457_577c3a7d70.jpg#0	黒犬と斑点のある犬が戦っています
1001773457_577c3a7d70.jpg#1	道路でお互いに遊んでいる黒犬と三色の犬。
1001773457_577c3a7d70.jpg#2	茶色の斑点を持つ黒い犬と白い犬が通りでお互いを見つめています。
1001773457_577c3a7d70.jpg#3	道路でお互いを見ている異なる品種の2匹の犬。
1001773457_577c3a7d70.jpg#4	舗装上の2匹の犬がお互いに向かって移動します。
1002674143_1b742ab4b8.jpg#0	塗料で覆われた小さな女の子が、塗装された虹の前にボウルに手を入れて座っています。
1002674143_1b742ab4b8.jpg#1	小さな女の子が大きな塗装された虹の前に座っています。
1002674143_1b742ab4b8.jpg#2	草の中の小さな女の子は、虹が付いた白いキャンバスの前で指塗りで演奏します。
1002674143_1b742ab4b8.jpg#3	虹の絵の前に座っているピグテールの女の子がいます。
1002674143_1b742ab4b8.jpg#4	草の中で外に絵を描くピグテールを持つ若い女の子。
1003163366_44323f5815.jpg#0	彼の犬が彼のそばに座っている間、男はベンチに横たわります。
1003163366_44323f5815.jpg#1	男は、白い犬も縛られているベンチに横たわります。
1003163366_44323f5815.jpg#2	彼の隣に座っている白人と黒い犬と一緒に外のベンチで寝ている男。
1003163366_44323f5815.jpg#3	上半身裸の男は犬と一緒に公園のベンチに横たわっています。
1003163366_44323f5815.jpg#4	地面に座っている犬の鎖を持ってベンチに横たわっている男
1007129816_e794419615.jpg#0	何かを主演するオレンジ色の帽子をかぶった男。
1007129816_e794419615.jpg#1	男はオレンジ色の帽子とメガネを着ています。
1007129816_e794419615.jpg#2	ゲージとメガネを備えた男が電撃帽をかぶっています。
1007129816_e794419615.jpg#3	眼鏡をかけた男は、かぎ針編みの帽子をかぎ針編みにしています。
1007129816_e794419615.jpg#4	耳を刺した男は、眼鏡とオレンジ色の帽子をかぶっています。
1007320043_627395c3d8.jpg#0	ロープネットで遊んでいる子供。
1007320043_627395c3d8.jpg#1	赤いロープに登っている小さな女の子。
1007320043_627395c3d8.jpg#2	ピンクの少女が公園のロープブリッジを登ります。
1007320043_627395c3d8.jpg#3	小さな子供が遊び場の赤いロープを握ります。
1007320043_627395c3d8.jpg#4	小さな子供は遊び場の赤いロープに登ります。
1009434119_febe49276a.jpg#0	白い犬が白いフェンスに囲まれた草が茂った庭で走っています。
1009434119_febe49276a.jpg#1	黒と白の犬が草の中を走っています。
1009434119_febe49276a.jpg#2	ボストンテリアが草の中を走っています。
1009434119_febe49276a.jpg#3	ボストンテリアが白いフェンスの前にある緑豊かな緑の草の上で走っています。
1009434119_febe49276a.jpg#4	犬が木製のフェンスの近くの緑の草を走ります。
1012212859_01547e3f17.jpg#0	犬が海岸の近くで頭を振って、その隣の赤いボール。
1012212859_01547e3f17.jpg#1	白い犬がオレンジ色のボールでビーチの端を揺さぶります。
1012212859_01547e3f17.jpg#2	オレンジ色のボールが足を踏み入れた犬は、水を揺さぶる海岸に立っています
1012212859_01547e3f17.jpg#3	水の近くの海岸で赤いボールで遊ぶ白い犬。
1012212859_01547e3f17.jpg#4	頭を片側に向けて水の近くに立っている茶色の耳を持つ白い犬。
1015118661_980735411b.jpg#0	少年は街の石の壁の前で微笑んでいます。
1015118661_980735411b.jpg#1	オーバーオールの男が石の壁に取り組んでいる間、小さな男の子が路上に立っています。
1015118661_980735411b.jpg#2	少年が路上を走ります。
1015118661_980735411b.jpg#3	幼い子供は、金属の棒と彼の後ろにある男のある石の舗装された通りを歩いています。
1015118661_980735411b.jpg#4	岩の壁の前で白いシャツとブルージーンズを着た笑顔の男の子と、彼の後ろにあるオーバーオールに男がいます。
1015584366_dfcec3c85a.jpg#0	黒犬が丸太の上を飛び越えます。
1015584366_dfcec3c85a.jpg#1	灰色の犬が倒れた木の上を飛び越えています。
1015584366_dfcec3c85a.jpg#2	大きな黒い犬が倒れた丸太を飛び越えます。
1015584366_dfcec3c85a.jpg#3	倒れた木を飛び越える青い襟にある斑点のある黒と灰色の犬。
1015584366_dfcec3c85a.jpg#4	黒い犬が木の切り株を跳びました。
101654506_8eb26cfb60.jpg#0	茶色と白の犬が雪の中を走っています。
101654506_8eb26cfb60.jpg#1	犬が雪の中を走っています
101654506_8eb26cfb60.jpg#2	雪の中を走る犬。
101654506_8eb26cfb60.jpg#3	白と茶色の犬が雪に覆われた畑を駆け抜けています。
101654506_8eb26cfb60.jpg#4	白と茶色の犬は雪の表面上を走っています。
101669240_b2d3e7f17b.jpg#0	帽子をかぶった男が青い帽子をかぶったスキーヤーの隣に写真を見せています。
101669240_b2d3e7f17b.jpg#1	男が雪の中に絵画を見せている別の男を通り過ぎてスキーをします。
101669240_b2d3e7f17b.jpg#2	雪の中に設定された額入りの写真を見てスキーをかぶっている人。
101669240_b2d3e7f17b.jpg#3	スキーヤーは、木の隣の雪の中の額入りの写真を見ます。
101669240_b2d3e7f17b.jpg#4	雪の中で販売されているアートワークを見ているスキーの男
1016887272_03199f49c4.jpg#0	崖に登っている一人の人のコラージュ。
1016887272_03199f49c4.jpg#1	人々のグループは、ロッククライミングの壁にロッククライミングしています。
1016887272_03199f49c4.jpg#2	一人の男が岩に登る人々のグループ
1016887272_03199f49c4.jpg#3	7人の登山者が岩の顔を上っていますが、別の男がロープを持って立っています。
1016887272_03199f49c4.jpg#4	数人の登山家が岩を登っていますが、赤い男が路線を監視して保持しています。
1019077836_6fc9b15408.jpg#0	茶色の犬は、芝生の上のスプリンクラーから水を追いかけます。
1019077836_6fc9b15408.jpg#1	茶色の犬がホースで遊ぶ。
1019077836_6fc9b15408.jpg#2	庭のホースの近くの芝生で走る茶色の犬
1019077836_6fc9b15408.jpg#3	犬はホースで遊んでいます。
1019077836_6fc9b15408.jpg#4	草の中のスプリンクラーから逃げる大きな茶色の犬。
1019604187_d087bf9a5f.jpg#0	犬は、近くの車のある畑で投げられた物体を捕まえる準備をします。
1019604187_d087bf9a5f.jpg#1	白い犬が口に黄色いボールを捕まえようとしています。
1019604187_d087bf9a5f.jpg#2	白い犬が黄色い犬のおもちゃを捕まえようとしています。
1019604187_d087bf9a5f.jpg#3	白い犬は、空中を飛んでいる黄色のボールを捕まえる準備ができています。
1019604187_d087bf9a5f.jpg#4	黄色いボールを追いかけている白い犬
1020651753_06077ec457.jpg#0	おもちゃを手に入れるために空中にジャンプする黒人と白の犬。
1020651753_06077ec457.jpg#1	黒と白の犬が黄色いおもちゃに向かって飛び上がります。
1020651753_06077ec457.jpg#2	犬が飛び跳ねてフィールドでボールをキャッチします。
1020651753_06077ec457.jpg#3	白い犬が芝生の畑で空中でボールをキャッチしようとしています。
1020651753_06077ec457.jpg#4	白い犬は黄色いおもちゃで緑の畑で遊んでいます。
1022454332_6af2c1449a.jpg#0	子供と女性が大都市のウォーターズエッジにいます。
1022454332_6af2c1449a.jpg#1	その中に泳いでいる孤独なアヒルのある大きな湖。
1022454332_6af2c1449a.jpg#2	湖の小さな男の子がアヒルを見ています。
1022454332_6af2c1449a.jpg#3	少年は、緑の公園に囲まれた水の中のアヒルに手を振っています。
1022454332_6af2c1449a.jpg#4	2人が湖の端にいて、水と街のスカイラインに面しています。
1022454428_b6b660a67b.jpg#0	男性が抱きしめているカップルと幼児は、ベビーカーに近い池の隣に座っています。
1022454428_b6b660a67b.jpg#1	カップルは赤ちゃんとベビーカーと一緒に草の上に座っています。
1022454428_b6b660a67b.jpg#2	湖に面した木の下に座っている生まれたばかりの赤ちゃんがいるカップル。
1022454428_b6b660a67b.jpg#3	男性と女性は、水域の側面に沿って乳児を世話します。
1022454428_b6b660a67b.jpg#4	ベビーカーの隣に屋外に座っている赤ちゃんと一緒にカップル。
1022975728_75515238d8.jpg#0	サーフで走っている黒犬。
1022975728_75515238d8.jpg#1	タグがある黒いラボは、水にフロリックです。
1022975728_75515238d8.jpg#2	犬が水に飛び散っています
1022975728_75515238d8.jpg#3	黒犬は水を駆け抜けます。
1022975728_75515238d8.jpg#4	これは水に飛び散る黒犬です。
102351840_323e3de834.jpg#0	氷に穴を開けている男。
102351840_323e3de834.jpg#1	男が池の凍った氷を掘り下げています。
102351840_323e3de834.jpg#2	雪の中の人が氷の中に穴を開けます。
102351840_323e3de834.jpg#3	凍った湖に立っている人。
102351840_323e3de834.jpg#4	2人の男性は氷釣りです。
1024138940_f1fefbdce1.jpg#0	2つの異なる種類の茶色と白の犬がビーチで遊んでいます。
1024138940_f1fefbdce1.jpg#1	2匹の犬が柔らかい砂浜をターンしています。
1024138940_f1fefbdce1.jpg#2	ビーチの砂で遊んでいる2匹の犬。
1024138940_f1fefbdce1.jpg#3	ビーチで一緒に遊んでいる2匹の犬。
1024138940_f1fefbdce1.jpg#4	砂浜のビーチに沿って2匹の大きな犬が遊んでいます。
102455176_5f8ead62d5.jpg#0	男性はアイスピックとブランポンを使用して氷を拡大します。
102455176_5f8ead62d5.jpg#1	青いジャケットと黒いズボンのアイスクライマーは、凍った氷の壁を拡大しています。
102455176_5f8ead62d5.jpg#2	凍った滝を拡大するアイスクライマー。
102455176_5f8ead62d5.jpg#3	2つのピックで青と赤の氷の登山をした人。
102455176_5f8ead62d5.jpg#4	氷の壁に登る登山家
1026685415_0431cbf574.jpg#0	黒犬は、草の中を歩くと、口の中に緑のおもちゃを運びます。
1026685415_0431cbf574.jpg#1	草の中に何かを運んでいる黒い犬。
1026685415_0431cbf574.jpg#2	黒犬は口に青いおもちゃを持っています。
1026685415_0431cbf574.jpg#3	口の中に青いアイテムを持った草の中の犬。
1026685415_0431cbf574.jpg#4	濡れた黒い犬が草の中に緑のおもちゃを運んでいます。
1028205764_7e8df9a2ea.jpg#0	男と赤ちゃんは水の上で黄色いカヤックの中にいます。
1028205764_7e8df9a2ea.jpg#1	青いライフジャケットを着た男と小さな男の子が黄色いカヌーをrowぎましょう。
